Händler-SKU;ASIN 1;Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Preis;Menge;Erstellungsdatum;Produkt-ID-Typ;Anmerkung zum Artikel;Artikelzustand;Internationaler Versand;Expressversand;Produkt-ID;Anzahl Bestellungen;Versender;Standardpreis;Produktsteuerschlüssel;Nettopreis
00018;B004EXUT0U;Orangenblüten Honig, lieblich, blumig wie Orangenblüte, unfiltriert, 500g;;0509MOZKF9U;08. Sep;5;09/05/2012 12:23:59 MEST;1;;11;;;B004EXUT0U;0;DEFAULT;;;
00022;B004EXRC4G;Tannen Honig, grünlich-schwarz, flüssig, herb, 500g;;0515MXPUE1U;15. Sep;6;15/05/2012 09:02:21 MEST;1;;11;;;B004EXRC4G;0;DEFAULT;;;
00032;B0038W1SEY;Darjeeling Tee Second Flush SF FTGFOP aus Teeinitiative 1 Kg rückstandskontrolliert;;0111MB5AQJ0;23. Sep;19;11/01/2012 11:52:52 MET;1;.;11;;;B0038W1SEY;0;DEFAULT;;;
00040;B0038W1SIK;Nepal Tee FF SFTGFOP1 aus Teeinitiative 1 Kg rückstandskontr.;;0111MB5AFBO;26. Sep;25;11/01/2012 11:49:41 MET;1;.;11;;;B0038W1SIK;0;DEFAULT;;;
00111;B0038W1SHG;Assam Tee SF TGFOP aus Teeinitiative 1 Kg rückstandskontr.;;0111MB5AQN6;20. Sep;53;11/01/2012 11:51:25 MET;1;.;11;;;B0038W1SHG;0;DEFAULT;;;
00162;B00H1RGYG4;Keiko Bio Kabuse SOSHUN - 16 Pyramidenbeutel a 3g - Grüner Tee;"Japanischer grüner Halbschattentee, 16 Teebeutel a 3g. Erste Pflückung der 1.Ernteperiode im April. ""Early spring"", wunderbar reicher, vielschichtiger und süßer Duft, samtig harmonischer Geschmack. In der Tasse leuchtend grün. Nicht nur für Kenner ein unvergesslicher Genuss. Die Triangelform dieser neuen, großporigen Teebeutel ermöglicht eine außergewöhnlich gute Entfaltung des Aromas. ""Kabuse SOSHUN"" ist im frühen Frühling Mitte bis Ende April gepflückt worden. Der Tee zeichnet sich durch einen wunderbaren Duft und harmonischen Geschmack aus. Aus kontrolliert biologischem Anbau DE-ÖKO-013.";1202NERTDFI;24. Sep;10;02/12/2013 12:37:41 MET;4;;11;;;4031322000634;0;DEFAULT;;;
00164;B00GTWKQFW;Keiko Bio Kabuse No.1 - 16 Pyramidenbeutel a 3g - Grüner Tee;Kabuse No.1 - Japanischer grüner Halbschattentee - 16 Pyramidenbeutel a 3g. Der Tee aus der 1.Hauptpflückung Anfang Mai. Volles, lebendiges Aroma. In der Tasse leuchtend grün, delikat duftend. Die Triangelform dieser neuen Premium Teebeutel ermöglicht durch ihr großes Volumen und die großen Poren eine außergewöhnlich gute Entfaltung der Blätter und des Aromas.;1202NERJ5DI;16. Sep;7;02/12/2013 12:30:41 MET;4;;11;;;4031322000658;0;DEFAULT;;;
00167;B00GTWKRE2;Keiko Bio Matcha GENMAICHA - 16 Pyramidenbeutel a 3g - Grüner Tee;Kabuse Matcha Genmai - 16 Pyramidenbeutel a 3g. Japanischer Halbschattentee. Traditionelle Spezialität aus der 2.Pflückung. Aus Blättern, Blattstängeln, Grünteepulver und Genmai (geröstetem Reis). Herrlich grüne Tasse, voller Geschmack bei angenehmer Röstnote. Die Triangelform dieser neuen großporigen Teebeutel ermöglicht eine außergewöhnlich gute Entfaltung des Aromas.;1202NES3DFI;12. Sep;14;02/12/2013 12:44:20 MET;4;;11;;;4031322000641;0;DEFAULT;;;
0021;B004C08K56;Creano Teeblumen Geschenkset in Teekiste aus Holz, 12 Erblühtee in 6 Sorten Weißtee;;0205OVBUXV6;23. Sep;6;05/02/2014 14:11:57 MET;1;;11;;;B004C08K56;0;DEFAULT;;;
00451;B0038W1SMQ;Abraham´s Tea House -China Sencha Tee Initiative 1kg;;0111MB5AQGI;19. Sep;15;11/01/2012 12:06:48 MET;1;.;11;;;B0038W1SMQ;0;DEFAULT;;;
