Händler-SKU;ASIN 1;Artikelbezeichnung;Artikelbeschreibung;Angebotsnummer;Preis;Menge;Erstellungsdatum;Produkt-ID-Typ;Anmerkung zum Artikel;Artikelzustand;Internationaler Versand;Expressversand;Produkt-ID;Anzahl Bestellungen;Versender;Standardpreis;Produktsteuerschlüssel;Nettopreis
00033;B0038W1SLM;Darjeeling grün SF FTGFOP aus Teeinitiative 1 Kg rückstandskontr.;;0111MB5AQJU;32.9;0;11/01/2012 12:08:28 MET;1;.;11;;;B0038W1SLM;0;DEFAULT;;;
00043;B004EXUT5U;Pinien Honig, Kiefernwald vom Mittelmeer, dunkel, mild würzig, 500g;;0509MP049A0;08. Sep;6;09/05/2012 12:39:15 MEST;1;;11;;;B004EXUT5U;0;DEFAULT;;;
0008;B0035G9SG8;"Creano Teeblumen Mix - Geschenkset ""ErblühTee"" mit Glaskanne Weißtee (6 verschiedene Sorten)";;0205OVBXQOC;24. Sep;0;05/02/2014 14:13:27 MET;1;;11;;;B0035G9SG8;0;DEFAULT;;;
0009;B0035G50YW;Creano Teeblumen Mix – „ErblühTee“ in edler Geschenkbox zum Probieren | Weißtee (6 verschiedene Sorten Teerosen);;0205OVBOZF6;11. Sep;0;05/02/2014 14:09:59 MET;1;;11;;;B0035G50YW;0;DEFAULT;;;
00100;B007OULS5A;Abraham´s Tea House -Bio Früchtetee Initiative - 1kg;;0329MG56N0O;22. Sep;0;29/03/2012 12:03:43 MEST;1;.;11;;;B007OULS5A;0;DEFAULT;;;
02645;B00519G2Z2;Monbana Schokoladenpulver Mandel 250g Dose (mind. 32% Kakao), 1er Pack (1 x 250 g);Die Trinkschokoladen von Monbana sind eine besondere Spezialität aus dem Hause des französischen Chocolatier. Der Kakaoanteil beträgt 33%. Durch die vielfältigen Geschmacksrichtungen ist für jeden Schokoladenliebhaber etwas dabei. Die Kreationen aus französischer Schokolade sind von exklusiver Qualität und versprechen einen einzigartigen Genuss. Monbana Trinkschokolade Mandel - köstliches Schokoladengetränk mit Mandelaroma, verpackt in einer schönen Metalldose (250g) mit geprägtem Muster. Das Pulver einfach mit heißer Milch aufgießen und umrühren.;0209MYVHNVU;06. Sep;0;09/02/2012 12:37:44 MET;1;.;11;;;B00519G2Z2;0;DEFAULT;;;
02652;B00B7XOEOW;Monbana Trinkschokolade Tresor de Chocolat Dose 250 g;;0209MYVISO6;06. Sep;0;09/02/2012 12:41:14 MET;1;;11;;;B00B7XOEOW;0;DEFAULT;;;
05-Q9T2-DV5N;B07GFGRWJK;Reiner, dunkler Bio Kakao 100% - Becks Cocoa - 1200g;Einfach 100% bester Kakao, herb ohne jegliche Zusätze veredelt ein Stück Zentralamerika zum Genießen. Löst sich ohne Kochen in warmer Milch. Beschreibung: 100% Criollo Edelkakao. Geschmackston: purer Kakao, zartherb ohne Bitterstoffe Geruchston: edelherbe Schokoladennuance. Anmerkung: für fortgeschrittene Kakaotrinker und Liebhaber herber Noten.;0814UH2U39O;44.9;4;14/08/2018 12:01:27 MEST;4;;11;;;4016600112759;0;DEFAULT;;;
05000699;B00KTGC44K;6er Tee Kräutertee nach Eva Aschenbrenner, 175 g Tee;;0107O268Q2O;Sep 45;0;07/01/2014 11:00:42 MET;1;;11;;;B00KTGC44K;0;DEFAULT;;;
0N-XRLF-Q1AB;B0821H8NFY;Keiko Shincha Set 3x50g Bio, Ernte 2019;Shincha ist wörtlich übersetzt der 'Neue Tee'. Er wird aus den ersten feinen Blättchen gemacht, die im Frühjahr sprießen, und wird nur leicht getrocknet. Dadurch erhält er ein besonders frisches Aroma. Doch Shincha ist nicht gleich Shincha: Je nach Beschattung, Dämpfungsgrad, Anbauregionen und Tee-Varietäten unterscheiden sich die verschiedenen Sorten auch geschmacklich voneinander. Shincha Classic Altbewährt und immer wieder ein Genuss! Der Klassiker unter den KEIKO Shinchas ist intensiv gedämpft (Fukamushi) und besteht auch dieses Jahr zu 100% aus der Varietät Yutaka Midori („reiches Grün“). Diese Sorte hat einen frischen, vollen Geschmack mit spritzig grüner Färbung. Ideal auch für den Kaltaufguss! Shincha Yume 2013 begeisterte uns die erste Kostprobe der allerersten Ernte der noch jungen Teesträucher der Sorte Yume Kaori (zu Deutsch: „Traumaroma“) so sehr, dass wir neben dem Shincha Classic erstmals eine weitere Shincha-Sorte - den Shincha Yume - anboten. Dabei hatte uns von Anfang an vor allem auch der Duft verzaubert – auch in diesem Jahr enthält der Shincha Yume wieder zu 100% diese Varietät und verströmt schon beim Öffnen der Tüte ein wunderbares Aroma. Etwas heller als zuvor in der Tasse und doch fein-süßlich und samtig- aromatisch im Geschmack mit langem Nachhall. Auch dieser Tee ist intensiv gedämpft (Fukamushi). Shincha Yakushima Yakushima ist eine Insel in der Präfektur Kagoshima, die südlich der Hauptinsel Kyushu liegt und aufgrund der uralten Zeder-Baumbestände und Wasserfälle sowie als Brutstätte für Meeresschildkröten seit 1993 als UNESCO Weltnaturerbe gilt. Hier war die Familie Fujiwara die erste, die inmitten der üppigen, unberührten Natur Tee anbaute und später als erste auf Anbau nach EU-Bio-Richtlinien umstellte, der vom subtropischen Klima profitiert. Der Shincha Yakushima ist nur leicht gedämpft und hat daher ein angenehm sanftes Aroma bei hellerer Tassenfarbe. Der Shincha Yakushima besteht zu 100% aus der Varietät Yabukita.;1126VQ76WU6;69;0;26/11/2019 12:08:54 MET;4;;11;;;4031322105889;0;DEFAULT;;;
1G-ECRR-DNIK;B075MDC3WJ;Bio Creme Brulee - Grüner Tee (250g);;1204V9VDCM2;11. Mai;0;04/12/2019 09:01:32 MET;1;;11;;;B075MDC3WJ;0;DEFAULT;;;
1Y-29LH-SDGP;B082HW4X8J;Bio MyCocoa Caramel - Trinkschokolade - 375g Dose;Eine Bio Caramel Trinkschokolade von MyCocoa nit der Süße der Kokosblüte. Ein cremiger Trinkschokoladen Genuss aus österreichischer Produktion. Zutaten: 50% Kakao schwach entölt, Rohrrohzucker, Rübenzucker, 10% Sahnekaramell, 10% Kokosblütenzucker, Meersalz.. Aus biologischer Landwirtschaft. AT-BIO-301 / Nicht EU-Landwirtschaft.;1209VMXJGVR;08. Sep;0;09/12/2019 11:48:30 MET;4;;11;;;9120047790717;0;DEFAULT;;;
30748;B00M9DHIR4;"Tea for One Set ""Evi""";;1207NPSGGYC;22. Sep;0;07/12/2013 10:52:00 MET;1;.;11;;;B00M9DHIR4;0;DEFAULT;;;
31121;B00EPDN6D6;Cha Cult - Tea for one Set Ben 1 Stück;;0116OKOWYZI;21. Mai;0;16/01/2014 10:05:47 MET;1;.;11;;;B00EPDN6D6;0;DEFAULT;;;
45-DFSM-1M97;B075XK74SY;bloomix Teeset Tea Time 340 ml, doppelwandiges Thermo-Teeset;;0926SEUYRTC;20. Sep;0;26/09/2017 10:49:47 MEST;4;;11;;;9120036783225;0;DEFAULT;;;
4G-3H9C-H465;B075MDD98D;Bio Creme Brulee - Grüner Tee (1000g);;1203V7TXCXL;42.5;0;03/12/2019 12:46:00 MET;1;;11;;;B075MDD98D;0;DEFAULT;;;
53031;B00HQFXJBE;Türkischer Apfeltee im Teebeutel;Original Türkischer Apfeltee aus sonnengereiften türkischen Äpfeln. So kennen Ihn die meisten Türkeiurlauber noch von Ihrem letzten Urlaub. Angenehm fruchtig mit leichter Süße. Eine Schachtel enthält 15 Teebeutel a 2g Tee.;0107O2HLIA0;Feb 75;0;07/01/2014 13:53:19 MET;4;;11;;;4004986243013;0;DEFAULT;;;
58403;B005BM66EG;Aktuell Bio Sencha, 1er Pack (1 x 500 g) - Bio;;0123MLWJP4U;15. Apr;8;23/01/2012 12:40:44 MET;1;;11;;;B005BM66EG;0;DEFAULT;;;
7K-MLLY-WBAS;B07V24FP86;Bio Früchtetee ohne Zusatz von Aroma im Kilopack - Früchtetee;Eine gelungene Früchteteemischung ohne Zusatz von Aroma aus kontrolliert biologischem Anbau im Kilopack. Bio Früchtetee ohne Zusatz von Aroma - ideal für Freunde des puren, unaromatisierten Früchtetee Geschmacks Aus kontrolliert biologischem Anbau DE-ÖKO-001. Hinweis: Die Teetasse auf dem Foto ist nicht im Lieferumfang enthalten.;0709VU6JB09;25. Sep;0;09/07/2019 12:41:49 MEST;3;;11;;;758913511587;0;DEFAULT;;;
80038;B014FH9HF2;Cha Cult Tea for One Set Jared - Keramik;;0118SJ7KAXU;18. Sep;0;18/01/2017 15:23:47 MET;1;;11;;;B014FH9HF2;0;DEFAULT;;;
80055;B01M136AZQ;"Tea for one Set ""Jesse"" Keramik, 4-teilig Kanne: 0,4 l, Tasse: 0,2 l";;0118SIHXHMC;18. Apr;0;18/01/2017 12:44:28 MET;1;.;11;;;B01M136AZQ;0;DEFAULT;;;
