SKU	ASIN	Preis	Menge
00018	B004EXUT0U	8.90	5
00022	B004EXRC4G	15.90	6
00032	B0038W1SEY	23.90	19
00040	B0038W1SIK	26.90	25
00111	B0038W1SHG	20.90	53
00162	B00H1RGYG4	24.90	10
00164	B00GTWKQFW	16.90	7
00167	B00GTWKRE2	12.90	14
0021	B004C08K56	23.90	6
00451	B0038W1SMQ	19.90	15
0137	B009GHKLXO	14.00	2
0138	B009HOAYR4	21.00	9
02643	B0049HT1KU	6.90	13
02644	B001CDPEKA	6.90	13
02647	B0045JHYRY	6.90	6
02648	B001A53XBC	6.90	6
02927	B003WOG9TC	8.90	7
03151	B00Q8MG40Y	17.90	6
03560	B0051M3AEK	17.90	5
03561	B00Q8M6PNA	17.88	1
03807	B0060K8OSO	6.65	6
0580	B003FVYSFE	20.95	5
07-ICX4-9I58	B006XBWNDW	5.40	12
0T-PEYN-O5VK	B00H26AT2Y	25.90	4
0U-IAT5-1PE2	B082HWVTTJ	9.90	12
10250	B000LFA4MI	36.00	4
1050-6erPack	B00IJHZGFA	19.00	4
1050T	B01N016PVS	3.99	30
1052-6erpack	B00DIXG5M8	22.00	10
1076	B005NASBA8	3.79	101
11-19HY-0N25	B0811SM6DX	19.90	82
11008	B00221DD68	11.90	7
11009	B000VYP4EW	11.90	20
11029	B0041G97H6	11.90	11
12072	B006ZJP77G	8.90	5
12178	B0077LMOKY	9.90	6
12252	B00D2PEAZ6	8.90	7
12374	B0059U9GJM	22.90	1
12422g	B0077LMQYI	9.90	1
13042	B007F9MBRE	8.90	6
14032	B006ZJPCBC	8.90	7
190-8	B00C87P4MW	36.00	10
1918	B007M8LR0A	23.90	6
1948	B007M8LQ6A	26.00	6
1958	B007M8LQNI	28.99	3
21643	B006YNAXA4	3.75	1
220204	B0000CDLPB	18.90	35
220211	B001RF2HRG	18.90	27
22122	B005OK1GJ0	4.40	65
22122.1000	B005OK1GEA	39.00	6
22122.250	B005OK1GO0	10.40	26
22122.500	B005OK1GUE	19.50	13
24225	B005N5J76U	3.75	35
28-U83F-FXLM	B006XBWRG0	5.40	8
2D-L5I5-FF7J	B0883C29HN	3.99	104
30258	B00D5FQARY	19.90	3
30284	B00422AHMI	18.50	1
31500	B0174YLHEC	21.00	2
31501	B01755EQZW	21.00	2
31620	B01LRYLJ4I	21.00	2
3S-L4V9-1K6A	B00H26QHV6	27.90	3
40292	B006YVJCVM	3.95	11
40298	B006YVHC3W	3.95	5
41775	B00ECBMW5Y	22.50	1
44-X0JP-1JBF	B017LJJ1B6	7.20	5
44350	B002ECON28	87.00	3
44444	B000LFFQEY	132.00	2
44500	B000LFBWJC	178.00	2
4F-XR99-2ZRU	B00TYEDDBQ	7.80	13
5824	B005N5J6WA	3.75	11
58254	B00121U4NY	11.95	5
5826	B006YNB452	3.75	8
58262	B001AXN2UG	15.90	7
5827	B005N5J8CS	3.75	17
62080	B008MM17QO	25.90	2
62255	B01B1ITYKQ	24.90	2
65-FC5O-ZATV	B00GVWNT7C	27.80	1
67020	B00MFPU3C8	13.90	5
6D-7T2B-BOKF	B07F1Q66JY	32.90	6
6Q-HRC8-44YH	B01LYNLUOA	29.90	4
7W-HW1Y-QTGR	B00XRWVW0K	27.90	3
80051	B01LXTZWVZ	22.90	4
80074	B01LXUIUV2	18.40	1
80085	B01LLFV0ME	19.50	2
80112	B00MX3M0TG	18.60	4
82576	B00FVXQIL6	17.90	4
82587	B00G23MIK4	18.50	2
83118	B003G47186	20.50	3
83221	B003GCLIM8	17.30	2
83226	B00D1X0XNC	18.50	2
83330	B001A5GKOE	27.90	2
88-166	B00X5WP67M	13.90	12
88-181	B00X3Y2CR4	15.90	7
88-266	B00X3T2OX6	27.90	10
88-374	B00X5WW8LO	26.90	9
88-376	B00X5HT8HQ	19.90	3
88-500	B00X5I5JDC	13.90	15
8882	B007MAMENW	29.50	1
89057-500	B007VM8DJA	19.50	5
89116-100	B007POHFD4	3.90	13
89116-250	B007POHFOI	9.60	5
89116-500	B007POHG1U	17.50	2
8A-0112-79HW	B00NTXJC86	8.90	4
8H-245I-03EQ	B006YVJXKW	3.95	13
90643	B007GKYL5M	4.90	14
91356	B007GKYTUE	4.90	5
91665	B007GKYWLK	3.50	10
91804	B007GKYYBI	12.90	27
92637	B007GKYHXI	5.90	9
93280	B007GKYP76	4.40	23
93881	B006XBWS4G	5.40	12
93883	B0081383UC	5.40	6
93884	B006XBWOZ4	5.40	11
93886	B006XBWPJY	5.40	6
93887	B006WLLGC2	5.40	11
93890	B006XBWQBG	5.40	3
93894	B006XBWMQK	5.40	7
93895	B006XBWSQ4	5.40	12
93897	B006XBWNEQ	5.40	9
93899	B006WYOYMS	5.40	12
93900	B006XBWPDU	5.40	9
93908	B006WLLH0S	5.40	10
93909	B006WYOY96	5.40	11
93964	B006XBWTEK	5.40	11
93965	B006WLLHDK	5.40	9
93967	B006WLLG1S	5.40	10
93968	B006XBWSUU	5.40	12
93971	B006WLLGMW	5.40	13
93972	B006XBWMQA	5.40	9
93974	B006WYOY0K	5.40	9
93975	B006WYOXTM	5.40	8
94804	B007GKYYZO	4.90	7
95760	B00H2EANRM	5.60	10
95762	B00H2EP0E8	5.40	13
95798	B00H2FYQ6U	5.40	10
98-5S3D-20HF	B07H9H8TKQ	8.90	6
9G-Y7N3-CI39	B07V45YDPH	29.90	15
AktionA	B001AXN2V0	11.95	13
B8-AL46-WUUO	B01MEHJ62W	9.50	12
BK118	B00NTXJN6M	8.90	19
C0167	B00JV1FZQS	12.90	1
DB12144	B00XRWRCRW	27.90	3
DK88-121	B00YCDNF0S	15.90	12
DK88-127	B00YCCO58K	37.90	14
DR002	B000VYP4EM	11.90	12
DR006	B00176MMZM	11.90	7
DR007	B000KXQG64	11.90	4
F92636-1000	B01MTQA1GY	32.90	4
FG-49M8-A1K0	B07H9HV732	8.90	9
GM10004	B00BRJCOPM	2.99	146
GV1050	B00EZL8GTC	3.99	231
GW-JA5L-N9LD	B010671LDQ	24.90	7
GW-L27B-6EEP	B001PY2KI0	7.95	5
HL-6XLP-15II	B07H9HV732	8.90	9
HR-750A-EPIN	B01DBXJQ3E	5.40	11
IF11001	B001BM2V3U	39.90	2
IF11017	B0000UBTY6	39.90	3
IF11059	B01MZDH0QR	10.40	7
IP-B5R8-D46P	B00854JNE2	3.75	20
IU-SSPA-9WG3	B07F1MNCTD	32.90	2
IZ-A53P-4CQB	B07V384M3W	34.90	17
JG-PHQJ-LY40	B01BX23R2G	7.20	6
JM-UHTG-PEW9	B07V1NGWMN	29.90	7
K1-XJFB-I9JC	B00YCEBU5E	17.90	13
K112	B003TSZJAG	28.10	5
K116	B003TT54G4	22.00	10
K118	B003TT1OEU	18.80	6
K132	B003TT6YT0	12.00	26
K134	B003TT54CI	8.09	7
K3-ESFY-UBQJ	B006XBXYCQ	5.40	9
KP1151432139	B01MSTGMNV	16.90	1
KT-2LGS-97FH	B006XBWOQ8	5.40	8
KT142	B003ZHZ2TE	5.95	7
KT152	B00TYEDDBQ	7.80	12
KT154	B00TXGENJ6	8.95	8
KT159	B06XC3SSZC	10.00	9
KT190-50	B00L4ED8GE	54.50	7
KT191-50	B00L4CJ6YO	33.00	6
KT194-50	B00L4COCSY	41.99	5
KT195-50	B00L4CS7IK	46.89	1
KT197-50	B00OOQ92IM	20.00	7
L2-6NGR-OWVB	B01DK70EX2	5.40	10
LT-P9C5-5AFV	B07LFCKXGD	8.90	7
M5-HLM5-G1XT	B01DK7ELF4	5.40	11
MC8021	B00H8OSNLO	9.90	17
MESPFOR002	B06X8Z52V1	9.50	16
MESPFOR003	B06X8YK2J3	18.50	6
MG02642	B00V3H81U0	36.90	3
MG03443	B00V3GYYE8	43.90	3
MG03563	B008X5JCRG	13.40	8
MG03797	B00V3H4MXU	28.90	2
MG04939	B00FEE5HS2	17.90	5
MKAFHAF002	B06VV537DC	9.90	6
MKAFHAF003	B06VVD9TKS	19.80	5
MKAFHAF013	B0716JJKH6	19.90	13
MKAFSCH003	B01NA6TLAF	16.50	9
MO46005	B01IBQO27G	33.90	6
MO46052	B0196TPTQK	29.90	1
MO46107	B01BLDZKSQ	17.90	3
MO52105	B013RDT4JE	22.90	4
MO52110	B00SY4GZFI	28.50	3
MO52203	B00P16X7EE	29.90	2
MO52206	B00P16X43I	29.90	1
MO52211	B00P16X3ZW	29.90	3
MO52256	B00YRSCSJW	33.90	3
MO55237	B01HPUVTLQ	47.50	1
MO55532	B004KLK4J2	18.60	1
MO57520	B00LSEKVME	13.80	4
MO57521	B00LSEKQEC	13.50	4
MO57522	B00LSEKP8E	12.50	4
MO62085	B008MM19LM	24.60	2
MO62200	B009M0FZ0O	25.50	3
MO62220	B009M0G3LE	24.90	6
MO63000	B00YRSBIUC	19.90	4
MO63005	B00YRSBERY	19.90	2
MO63645	B00NNJB5OK	19.90	4
MO68500	B005F3I9H8	9.50	4
MO68510	B01AUKFC5W	9.50	10
MO68550	B005OYEBKW	9.50	8
MO68600	B005F3I9P0	9.10	3
MO69030	B015PYKY7E	18.90	3
MO69100	B00KIMIDGS	24.90	5
MO69120	B00KIMIGT2	24.90	2
MZ-GD7H-DPNB	B01DT8K5N6	9.90	3
N1-BA0X-6TN8	B00KTGC44K	9.45	5
N4-SE30-U7SS	B01068RN9Q	22.90	5
NS-L0MD-2108	B00TXH5A2E	8.95	6
OA-RIDK-MV4F	B01BX23QG8	7.20	4
OH-Q041-UCD2	B01DBYQSN4	5.40	11
OL-0WK3-WZU9	B01DK85H7E	5.40	2
OT-WJDP-JXAV	B006WYOXO2	5.40	7
PPBC01	B00Q4PABPY	19.95	19
PPCS01	B00N2NUZZW	16.95	3
PPE01-TEAWORLD	B00N8ZS79K	13.90	5
PPF01-TEAWORLD	B00N2TTZ2K	17.50	1
PPG01-TEAWORLD	B00N2TW108	19.40	9
PPHB01-TEAWORLD	B00NEPFT9A	14.95	8
PPMB01-16	B00QGRF32G	10.90	27
PPPB01-TEAWORLD	B00N931GW6	13.50	24
PPR01	B00Q4OIY18	16.90	2
PPS01	B00N2TGXAM	17.90	4
PPSTK01	B00Q4W8NTS	28.90	5
PPWF2014	B00Q4QTCZS	17.90	9
PY-U2NN-JVAK	B0773RTHST	7.20	11
QH-0S40-H211	B00H26PLO0	27.90	2
RF 11	B006Y8DD4C	13.90	3
RF&&	B0088MO86O	12.50	5
RF003	B004EXNIR6	7.90	10
RF005	B003UHZU78	10.90	6
RF017	B00COH3FZO	11.90	11
RF027	B004EXNKDI	10.90	12
RF032	B00G6LR122	7.50	4
RF033	B004EXPA72	8.45	7
RF040	B00P9HWCX2	9.90	6
RF084	B018QVYT7E	14.90	5
RF10	B003JI3A8Y	9.90	9
RF3	B004EXUSMY	17.90	8
RF5	B004EXP9BE	8.50	8
RF52	B003JJF3AG	11.90	5
RF54	B004EXNKWO	13.90	8
RF62	B004EXWB1A	10.90	4
RF8	B004ATHV4U	15.90	8
RF99	B004EXUTVE	7.50	10
RH5167	B00STHDWUG	49.90	26
RR-LBAW-FIF6	B07DY9P3ZM	19.90	3
SD-9Q9M-NCR2	B00TXGENJ6	8.95	9
SHNDAPR003	B06WLKKTDW	19.80	7
SI-3S46-ALC9	B008D19QX0	22.80	2
SJ-9PN1-RJG8	B01DBXWE7E	5.40	11
SN-MQWR-0NX9	B07GFGRWJK	44.90	2
T4-4AY4-H4VX	B00YCD5JFM	9.90	9
U0-JGCQ-SF9S	B005BM66EG	15.40	15
U9-R6ZA-FPS3	B01DBW4T00	5.40	4
V10027	B002HQB87E	7.90	54
V100621KG	B00FA7K2T2	27.90	2
V10119100	B007PNPLBS	3.80	82
V101191KG	B0786P2HFW	33.90	8
V10119250	B0088NJCQY	9.20	33
V10119500	B0088NJD54	17.50	16
V10128	B0002EVTEK	7.90	549
V10145	B0019XRHDA	8.90	7
V10154	B0002EW9AI	7.90	121
V10159	B000LQXCVM	32.90	6
V101631KG	B077MPS5C7	38.50	2
V10163250	B077MTHHG1	10.40	10
V10163500	B007VM8DJA	19.50	5
V10166100	B075K84HY4	3.70	63
V101661KG	B075KHYJBJ	30.90	6
V10166250	B075KB8852	8.80	25
V10166500	B075KG8V3L	16.80	12
V10221	B00114YMQM	15.95	3
V10297	B0038VU6F2	23.90	343
V10311100	B007PNPDXE	3.90	21
V103111KG	B078RLXDZ9	33.90	2
V10311250	B078RLDW23	9.20	8
V10311500	B078RLR8YP	17.50	4
V10415100	B007GKYYZO	4.90	7
V10415250	B077MLX6GD	11.50	3
V10415500	B077MLX2KD	21.90	1
V10628	B01M6ZCNN6	9.50	11
V10681	B01M0PBGGN	19.90	15
V10751	B01M5DW2PZ	8.90	6
V10752	B01MCW62OD	8.90	9
V10760	B00F3OADXW	2.79	53
V10822	B00IJHZGFA	19.00	4
V10993	B000HYWD4A	39.90	4
V10996	B002JDOQYC	39.90	2
V10997	B0007A8XV6	39.90	2
V11115	B00176MN6U	9.90	16
